comment,labeling
왜구들이 미쳐 날뛰네,0
대깨문들 할말없으면 토착왜구 꺼냄 ㅋㅋㅋㅋㅋ,0
대깨문들 자주국방이니 핵개발이니 헛소리 지꺼리는거보면 진짜 세상물정 모르는 히키코모리들 같다. 방구석에 박혀서 정치리플에 게임이나 하고 있으니 그딴 소릴 내뱉지,0
"대깨문들은 표현이 정말 거칠어, 자기랑 생각이 다르다고 죽일듯이 달려들고 일반사람이 평소에 쓸수없는 잔인한 표현들도 부지기수로 사용하는 것을 보고 진짜 일반인 맞는지 의심도 된다. 진짜 무서운 인간들이야 그러면서 무슨 인권타령 착한척 뒤로는 자기 이익 다 챙기면서, 심각하다 정말",0
우리야 일반 대중이지만 쟤네는 음악으로 밥먹고사는 애들인데 그런애들이 아무 심증없이 씨부릴까?ㅋㅋㅋ 지들끼리 돌고도는이야기도 있고 말도많으니까 저런거지,0
술먹고 지 노래 블락비 나가고 잘된거 그나마 자격지심밖에 없으니 리얼 자격지심 들어서 증거없이 실명 싸재낀거지,0
일단 윤민수 처울면서 노래부르는 목소리 듣기싫어죽겠음 목소리 레알비호감,0
션 닐로 장덕철 전상근 등등 이딴애들 듣보인데 노래방차트도 다 상위권이다ㅡㅡ 노래방차트도 사재기냐 걍 20대 sns충들이좋아하는노래들인거같은데 뭐그리 증거도없이사재기라그러지,0
개못생겻구나 그얼굴로 구하라랑 사겻으면가문에 영광으로 알것이지어디 협박에 폭행에 넌 평생 니죄를 반성.하면서 살아라,0
꿈이 그렇게 좋았으면 결혼해서 민폐주지 말았어야지.... 공유도 충분히 다른 좋은여자만날수있었는데 결혼하고 애낳는 욕심까지 챙기고 자기 꿈까지???? 이래서 김치녀들이 욕먹는거지...ㅋ,0
아어 명존쎄,0
역겹다 역겨워..개신교가 개독교 소리듣는 이유가 있었구먼.신학 가르치는 학교 맞나??,0
제발 이런 부류들로인해 개신교가 개독으로 욕먹지 않길 바랍니다..그리고 목사는 인간이지 하나님이 아닙니다 예수의 가르침은 이런게 아니에요ㅠ목사가 아니라 그저 하나님을 등에 업고 죄지은 인간일 뿐입니다,0
걍 쌉소리니까 빨리 사형합시다,0
노조 새끼들 편하게 파업할라고 좌파뽑은거 아주아주 살맛 낫겟구만,0
이제까지 미국 일본이 뒤봐주고 신용보증해줘서 먹고 산것도 모르고 좌빨들 국뽕 선동질에 자주국방 미군철수 외치는 골빈 대깨문들 때문에 또다시 625 역사는 반복된다,0
누더기 개꼴이 되는것 같다? 우째 깨지는 소리만 나는지? 한심하다~~~~~,0
