comment,labeling
나는 스윙스가 부럽다ㅠㅠ,1
좋네요. 실력있는 배우들이 잘 되는 모습~!,1
아 아직 이런 답답한 드라마가...,1
이새끼 대가리는 비었음,0
김제동 같은 못배운 중졸 새기야 광화문 집회나 참석해 못배운 새기,0
1년 남았다 우성아 ᆢ 너 쌍판떼기 보는날도,0
OOO같은남자놈이 마누라가 그만할때 그만하지. 발정난OOO마냥. 마누라한테. 눈속임하면서. 거짓말하고.연기하면서. !!!쪽팔지않냐? 아무리아랫도리가 뻐긋해도. 정부.상간녀가.불륜이 왠말이냐?? 둘년놈이 말말춰놓고. 헤어지는척해놓고. 또 붙어먹냐?? 스폰서하냐? 번호사를 왜 회사변호사 쓰냐??OOO이네. 이새끼도.홍씨행동하겠네 .우리사랑하게해주세요!!라고그럼 매장시켜야지!!!OOO은 방송정지시키고. OOO은투자못받게!!!!.OOO은이쁘척.잘난척. 하더니. 상간녀타이틀이 왠말이냐! 그냥남자애랫도리 받이하는거지,0
동백꽃 필 무렵 배우분들 연기 구멍이 없고 작가님의 필력이 대단합니다 용식 동백 커플 썸 타나요 다음주도 기대된다,1
엄마 입 없어? 하는 공효진 나타나는데 눈물 같이 흐르고 보고싶어 죽는줄 알았시유웅~~~ 하는 강하늘 보면서 진짜 광대 승천... 아이고 진짜 이 드라마 미쳤다 너무 재밌다 ㅋㅋㅋㅋ 까멜리아 치부책 ㅋㅋㅋㅋㅋㅋ 아 진짜 작가님 장수하시고 오래오래 작품활동 하세요,1
와 다들 연기를 왤케 잘하냐 ㅠㅠㅠㅠㅠㅠ드라마 대사도 너무 좋고 연출 연기 완벽하다 강하늘 귀여워 ㅠㅠㅠㅠ,1
ㅎ ㅏ강하늘.. 공효진 고두심 소장님까지 다 너무 좋아서 미쳐버릴꺼같애!!!!!ㅠㅠ 약간 인생드라마 될것같아요,1
윤상현씨 멋져요 딸들도 너무 이쁘구요 저기 남자아이는 메이비언니랑 친한 동생분인가? 하는 그분 아드님이네요~~ 뱃속에서부터 친구였다던 글을 읽었던거같아요♡ 다들 너무이뻐요♡,1
오늘도 너무 예뻤고 열심히 해줘서 고마워요 앞으로 더 열심히 힘내주셨으면 좋겠어요,1
어떻게 너흰 초심잃지않고 이렇게 항상 감사해하는지ㅠㅠ 잘될수밖에없다 필스페셜 명곡 많이들어주세요,1
다음 앨범에는 미나도 건강하게 돌아오길 트와이스 필스페셜 너무 힐링되는 노래다,1
솔까 여자측 능력이나 외모정도면 39여도 30초 남자 까지는잡을수있음 몸좋고 얼굴 잘생긴놈으로다가 근데 51의 김건모라.. 이건 돈밖에생각이안난다,0
어제 너무 재미 있었어요!! 히어로 포즈ㅋㅋ 진짜 웃겼고 멋졌어요ㅎ,1
고맙다 시안아. 너가 슈돌 주인공이었어. 그예쁜마음 계속 간직해줘.,1
정말 아이들 의젓하게 잘키우는 집 이라 생각들었구요 특히 대박이 시안이 너무너무 생각도 마음도 멋지고 이뻤어요 훌륭한 인격을 가진아이로 쭈우가길,1
